id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
B2-EXP-0330,B2,Expressió oral,oral,Descriu una experiència en què vas haver de resoldre un problema.,,,,,Resposta oberta,Ordena els fets i usa passat correctament.,Material original
B2-FRA-0198,B2,Fraseologia,test,Tria la locució adequada.,de gom a gom,de pressa,a poc a poc,de sobte,C,“Poco a poco” és a poc a poc.,Material original
B2-FRA-0199,B2,Fraseologia,test,Tria la locució adequada.,de gom a gom,a mitges,a cegues,buit,A,Vol dir ple del tot.,Material original
B2-FRA-0200,B2,Fraseologia,test,Tria la locució adequada.,fer tard,fer ombra,criticar,fer costat,D,Fer costat és donar suport.,Material original
B2-FRA-0201,B2,Fraseologia,test,Tria la locució adequada.,tot seguit sempre,poc a poc,a més,de sobte,D,De repente és de sobte.,Material original
B2-LEX-0152,B2,Lèxic,test,Tria l’equivalent més adequat.,estalviar,endevinar,baixar,gastar,A,Ahorrar en valencià és estalviar.,Material original
B2-LEX-0153,B2,Lèxic,test,Tria l’equivalent més adequat.,cantonada,vorera,acera,andana,B,Acera és vorera.,Material original
B2-LEX-0154,B2,Lèxic,test,Tria l’equivalent més adequat.,bústia,segell,buzó,caixó,A,Buzón és bústia.,Material original
B2-LEX-0155,B2,Lèxic,test,Tria l’equivalent més adequat.,sobre,segell,timbre,sello,B,Sello és segell.,Material original
B2-LEX-0156,B2,Lèxic,test,Tria l’equivalent més adequat.,lloguer,loguer,llogaret,alquiler,A,Alquiler és lloguer.,Material original
B2-LEX-0157,B2,Lèxic,test,Tria l’equivalent més adequat.,pols,fem,basura,brutícia només,B,Basura és fem.,Material original
B2-LEX-0158,B2,Lèxic,test,Tria l’equivalent més adequat.,caminador,vianant,veí,peató,B,Peatón és vianant.,Material original
B2-LEX-0159,B2,Lèxic,test,Tria l’equivalent més adequat.,aparcació,parking,parcatge,aparcament,D,Aparcamiento és aparcament.,Material original
B2-LEX-0160,B2,Lèxic,test,Tria l’equivalent més adequat.,mida,tamany,tamaño,grandària sempre,A,Tamaño és mida; tamany és castellanisme en molts contextos.,Material original
B2-LEX-0161,B2,Lèxic,test,Tria l’equivalent més adequat.,data,datació sempre,fecha,fetxa,A,Fecha és data.,Material original
B2-LEX-0162,B2,Lèxic,test,Tria l’equivalent més adequat.,èxit,exit,succés sempre,éxit,A,Éxito és èxit.,Material original
B2-LEX-0163,B2,Lèxic,test,Tria l’equivalent més adequat.,retraso,tardança sempre,atràs,retard,D,Retraso és retard.,Material original
B2-LEX-0164,B2,Lèxic,test,Tria l’equivalent més adequat.,aïna,eina,herramienta,instrument sempre,B,Herramienta és eina.,Material original
B2-LEX-0165,B2,Lèxic,test,Tria l’equivalent més adequat.,tarea,taula,tasca,faena només col·loquial,C,Tarea és tasca; faena també pot ser treball.,Material original
B2-LEX-0166,B2,Lèxic,test,Tria l’equivalent més adequat.,enchufe,clavilla sempre,endoll,enxufe,C,Enchufe és endoll.,Material original
B2-LEX-0167,B2,Lèxic,test,Tria l’equivalent més adequat.,vidre,espill exclusiu,espejo,mirall,D,Espejo és mirall o espill; ací l’opció normativa és mirall.,Material original
B2-LEX-0168,B2,Lèxic,test,Tria l’equivalent més adequat.,cartel,rètol sempre,cartell,cartó,C,Cartel és cartell/rètol segons context.,Material original
B2-LEX-0169,B2,Lèxic,test,Tria l’equivalent més adequat.,servei,serves,servicio,servici únicament,A,"Servicio és servei; servici també és valencià, però servei és estàndard general.",Material original
B2-ORT-0044,B2,Ortografia,test,Quina opció està escrita correctament?,açò,asò,axò,aixo,A,Açò porta ce trencada.,Material original
B2-ORT-0045,B2,Ortografia,test,Quina opció està escrita correctament?,adreça,adressa,adreçà,adreca,A,Adreça porta ce trencada.,Material original
B2-ORT-0046,B2,Ortografia,test,Quina opció està escrita correctament?,peça,peca,peçà,pessa,A,Peça porta ce trencada.,Material original
B2-ORT-0047,B2,Ortografia,test,Quina opció està escrita correctament?,plaçà,plaza,plassa,plaça,D,Plaça porta ce trencada.,Material original
B2-ORT-0048,B2,Ortografia,test,Quina opció està escrita correctament?,forssa,força,forca,forçà,B,Força porta ce trencada.,Material original
B2-ORT-0049,B2,Ortografia,test,Quina opció està escrita correctament?,llengua,lengua,llenga,llengüa,A,Llengua s’escriu amb ll inicial.,Material original
B2-ORT-0050,B2,Ortografia,test,Quina opció està escrita correctament?,trevall,trebal,trebay,treball,D,Treball s’escriu amb b i ll final.,Material original
B2-ORT-0051,B2,Ortografia,test,Quina opció està escrita correctament?,camviar,cambiar,canbiar,canviar,D,Canviar s’escriu amb v.,Material original
B2-ORT-0052,B2,Ortografia,test,Quina opció està escrita correctament?,hivern,hibern,ivern,hivèrn,A,Hivern porta h inicial.,Material original
B2-ORT-0053,B2,Ortografia,test,Quina opció està escrita correctament?,air,aïr,haïr,ahir,D,Ahir porta h intercalada.,Material original
B2-ORT-0054,B2,Ortografia,test,Quina opció està escrita correctament?,orchatta,horxata,orxàta,orxata,D,Orxata no porta h inicial.,Material original
B2-ORT-0055,B2,Ortografia,test,Quina opció està escrita correctament?,metxe,mege,metje,metge,D,Metge s’escriu amb tg.,Material original
B2-ORT-0056,B2,Ortografia,test,Quina opció està escrita correctament?,platxa,placha,plaja,platja,D,Platja s’escriu amb tj.,Material original
B2-ORT-0057,B2,Ortografia,test,Quina opció està escrita correctament?,cotxe,cotxa,cotge,coxe,A,Cotxe s’escriu amb tx.,Material original
B2-ORT-0058,B2,Ortografia,test,Quina opció està escrita correctament?,despats,despaig,despatx,despach,C,Despatx acaba en -tx.,Material original
B2-ORT-0059,B2,Ortografia,test,Quina opció està escrita correctament?,maix,maitx,maj,maig,D,Maig acaba en -ig.,Material original
B2-ORT-0060,B2,Ortografia,test,Quina opció està escrita correctament?,roix,roig,roitx,roij,B,Roig acaba en -ig.,Material original
B2-ORT-0061,B2,Ortografia,test,Quina opció està escrita correctament?,viatje,viaje,viatge,viache,C,Viatge s’escriu amb tg.,Material original
B2-ORT-0400,B2,Ortografia,test,Quina opció està escrita correctament?,caza,caça,casa,cassa,C,Casa amb s sonora.,Material original
B2-ORT-0401,B2,Ortografia,test,Quina opció està escrita correctament?,caça,cassa,casa,caza,A,Caça porta ç.,Material original
B2-ORT-0402,B2,Ortografia,test,Quina opció està escrita correctament?,pasar,passar,pazar,paçar,B,Passar porta ss.,Material original
B2-ORT-0403,B2,Ortografia,test,Quina opció està escrita correctament?,zero,sero,cero,çero,A,Zero s’escriu amb z.,Material original
B2-ORT-0404,B2,Ortografia,test,Quina opció està escrita correctament?,sona,zonna,çona,zona,D,Zona s’escriu amb z.,Material original
B2-ORT-0405,B2,Ortografia,test,Quina opció està escrita correctament?,qinze,quince,quinçe,quinze,D,Quinze porta z.,Material original
B2-PRE-0230,B2,Preposicions,test,He comprat una llibreta ___ l’examen.,para,perquè,per,per a,D,Finalitat/destinació: per a.,Material original
B2-PRE-0231,B2,Preposicions,test,"Ho he fet ___ tu, perquè m’ho vas demanar.",para,a causa a,per a,per,D,Causa o beneficiari segons context: per.,Material original
B2-PRE-0232,B2,Preposicions,test,Anirem ___ tren fins a València.,amb,en,a,per,B,Amb mitjans de transport és habitual usar en: anar en tren.,Material original
B2-PRE-0233,B2,Preposicions,test,Treballe ___ una oficina prop de l’estació.,a,en,per,amb,B,Per indicar lloc interior o àmbit físic usem en una oficina.,Material original
B2-PRE-0234,B2,Preposicions,test,Aquest regal és ___ ma germana.,per,per a,amb,de,B,Per a expressa destinació o beneficiari.,Material original
B2-PRO-0130,B2,Pronoms febles,test,Tria la substitució pronominal correcta.,El compre cada setmana.,Ho compre cada setmana.,En compre cada setmana.,Compre-lo cada setmana.,A,Substituïm “el pa” per el: El compre.,Material original
B2-PRO-0131,B2,Pronoms febles,test,Tria la substitució pronominal correcta.,Li veig cada dia.,La veig cada dia.,Ho veig cada dia.,En veig cada dia.,B,Complement directe femení singular: la.,Material original
B2-PRO-0132,B2,Pronoms febles,test,Tria la substitució pronominal correcta.,Li visite sovint.,Els visite sovint.,En visite sovint.,Les visite sovint.,B,Complement directe masculí plural: els.,Material original
B2-PRO-0133,B2,Pronoms febles,test,Tria la substitució pronominal correcta.,N’he comprades.,Les he comprades.,Els he comprades.,Ho he comprades.,B,Complement directe femení plural: les.,Material original
B2-PRO-0134,B2,Pronoms febles,test,Tria la substitució pronominal correcta.,Ho telefone cada vesprada.,La telefone cada vesprada.,En telefone cada vesprada.,Li telefone cada vesprada.,D,"Telefonar a algú: complement indirecte, li.",Material original
B2-PRO-0135,B2,Pronoms febles,test,Tria la substitució pronominal correcta.,Ens espera a la porta.,Mos espera a la porta.,Nosaltres espera a la porta.,Es espera a la porta.,A,Forma estàndard: ens.,Material original
B2-PRO-0136,B2,Pronoms febles,test,Tria la substitució pronominal correcta.,M’agrada molt.,Mi agrada molt.,Me agrada molt.,Em agrada molt.,A,"Davant vocal, m’.",Material original
B2-PUN-0287,B2,Puntuació,test,Tria la puntuació correcta.,Maria vine ací.,"Maria, vine ací.","Maria vine, ací.",Maria; vine ací.,B,El vocatiu se separa amb coma.,Material original
B2-PUN-0288,B2,Puntuació,test,Tria la puntuació correcta.,"No obstant això, cal revisar-ho.",No obstant això cal revisar-ho.,"No obstant, això cal revisar-ho.",No obstant això; cal revisar-ho.,A,Connector inicial seguit de coma.,Material original
B2-PUN-0289,B2,Puntuació,test,Tria la puntuació correcta.,"Si, plou no eixirem.","Si plou, no eixirem.",Si plou; no eixirem.,Si plou no eixirem.,B,Subordinada condicional inicial amb coma.,Material original
B2-REG-0278,B2,Registre i adequació,test,Tria l’opció més adequada per a un registre formal.,"Benvolguda senyora,","Ei, què tal?","Hola tia,","Bones, crack,",A,En una carta formal convé una salutació formal.,Material original
B2-REG-0279,B2,Registre i adequació,test,Tria l’opció més adequada per a un registre formal.,Adeu i ja diràs,Ens veiem!,"Atentament,","Un beset,",C,Comiat formal habitual.,Material original
B2-REG-0280,B2,Registre i adequació,test,Tria l’opció més adequada per a un registre formal.,A vore si em dius algo.,T’escric per demanar info.,Li escric per sol·licitar informació.,Vull saber coses.,C,Registre formal i precís.,Material original
B2-SIN-0210,B2,Sintaxi i connectors,test,No he vingut ___ estava malalt.,doncs que,per a que,per que,perquè,D,Connector causal: perquè.,Material original
B2-SIN-0211,B2,Sintaxi i connectors,test,"Ha plogut molt; ___, el partit s’ha ajornat.",per tant,mentre,sinó,encara que,A,Per tant introdueix conseqüència.,Material original
B2-SIN-0212,B2,Sintaxi i connectors,test,"___ faça fred, eixirem a caminar.",així que no,doncs,encara que,per tal de,C,Encara que introdueix concessió.,Material original
B2-SIN-0213,B2,Sintaxi i connectors,test,"El curs és útil; ___, és gratuït.",malgrat,sinó,si no,a més,D,A més afegeix informació.,Material original
B2-SIN-0214,B2,Sintaxi i connectors,test,Llig el text ___ escoltes l’àudio.,malgrat,doncs,mentre,perquè,C,Mentre indica simultaneïtat.,Material original
B2-SIN-0215,B2,Sintaxi i connectors,test,"No és dilluns, ___ dimarts.",sino,si no,però que,sinó,D,Sinó expressa oposició excloent.,Material original
B2-SIN-0216,B2,Sintaxi i connectors,test,"___ estudies, no aprovaràs.",si no,però,doncs,sinó,A,Si no = condició negativa.,Material original
B2-TRA-0337,B2,Transformació de frases,texto,Uneix amb “perquè”: Vaig arribar tard. Hi havia trànsit.,,,,,Vaig arribar tard perquè hi havia trànsit.,Perquè introdueix la causa.,Material original
B2-TRA-0338,B2,Transformació de frases,texto,Uneix amb “si”: Estudia cada dia. Milloraràs.,,,,,"Si estudies cada dia, milloraràs.",La condició va amb si.,Material original
B2-TRA-0339,B2,Transformació de frases,texto,Uneix amb “encara que”: Plou. Anirem a classe.,,,,,"Encara que ploga, anirem a classe.",Connector concessiu.,Material original
B2-VER-0093,B2,Verbs,test,Jo ___ molta faena hui.,tindre,ting,tenc,tinc,D,Present d’indicatiu: jo tinc.,Material original
B2-VER-0095,B2,Verbs,test,Ella ___ cansada.,està,siga,esta,estava,A,Present d’indicatiu: ella està.,Material original
B2-VER-0096,B2,Verbs,test,Ahir ___ al mercat.,aní vaig,vaig a anar,vaig anar,he anat ahir,C,El passat perifràstic: vaig anar.,Material original
B2-VER-0097,B2,Verbs,test,Hui ___ arròs al forn.,menjat he,menjí,he menjat,ha menjat,C,Perfet: he + participi.,Material original
B2-VER-0098,B2,Verbs,test,Demà ___ prompte de casa.,isqué,eixiscé,eixiré,eixiria,C,Futur: eixiré.,Material original
B2-VER-0099,B2,Verbs,test,"Quan era menut, ___ a escola a peu.",anaré,vaig,aní,anava,D,Imperfet: anava.,Material original
B2-VER-0100,B2,Verbs,test,Cada estiu ___ al poble.,vinga,vingué,venia,vindria,C,Imperfet: venia.,Material original
B2-VER-0101,B2,Verbs,test,Jo ___ prop del centre.,viu jo,visc,visque,vixc,B,Present: jo visc.,Material original
B2-VER-0102,B2,Verbs,test,Jo ___ cada nit abans de dormir.,lligc,lligisc jo,llegisc,legeisc,C,Present: jo llegisc.,Material original
B2-VER-0122,B2,Verbs,hueco,Jo ___ comprar el pa ahir.,,,,,vaig,Passat perifràstic: vaig comprar.,Material original
B2-VER-0123,B2,Verbs,hueco,Nosaltres ___ acabat la faena.,,,,,hem,Perfet: hem acabat.,Material original
B2-VER-0124,B2,Verbs,hueco,Abans les classes ___ més llargues.,,,,,eren,Imperfet del verb ser.,Material original
B2-VOC-0345,B2,Vocabulari temàtic,test,Com diries “silla” en valencià?,poma,espill,cadira,matí,C,“silla” correspon a “cadira”.,Material original
B2-VOC-0346,B2,Vocabulari temàtic,test,Com diries “mesa” en valencià?,forqueta,vesprada,faena,taula,D,“mesa” correspon a “taula”.,Material original
B2-VOC-0347,B2,Vocabulari temàtic,test,Com diries “ventana” en valencià?,taula,finestra,germà,espill,B,“ventana” correspon a “finestra”.,Material original
B2-VOC-0348,B2,Vocabulari temàtic,test,Com diries “cuchillo” en valencià?,poma,vesprada,ganivet,pluja,C,“cuchillo” correspon a “ganivet”.,Material original
B2-VOC-0349,B2,Vocabulari temàtic,test,Com diries “cuchara” en valencià?,taula,ganivet,espill,cullera,D,“cuchara” correspon a “cullera”.,Material original
B2-VOC-0350,B2,Vocabulari temàtic,test,Com diries “tenedor” en valencià?,forqueta,vesprada,pluja,xiquet,A,“tenedor” correspon a “forqueta”.,Material original
B2-VOC-0351,B2,Vocabulari temàtic,test,Com diries “manzana” en valencià?,iaio,dacsa,poma,espill,C,“manzana” correspon a “poma”.,Material original
B2-VOC-0352,B2,Vocabulari temàtic,test,Com diries “zanahoria” en valencià?,iaio,faena,carlota,cadira,C,“zanahoria” correspon a “carlota”.,Material original
B2-VOC-0353,B2,Vocabulari temàtic,test,Com diries “maíz” en valencià?,espill,creïlla,xiquet,dacsa,D,“maíz” correspon a “dacsa”.,Material original
B2-VOC-0354,B2,Vocabulari temàtic,test,Com diries “patata” en valencià?,creïlla,forqueta,cadira,iaio,A,“patata” correspon a “creïlla”.,Material original
B2-VOC-0355,B2,Vocabulari temàtic,test,Com diries “tarde” en valencià?,pluja,germà,vesprada,carlota,C,“tarde” correspon a “vesprada”.,Material original
B2-VOC-0356,B2,Vocabulari temàtic,test,Com diries “mañana” en valencià?,espill,matí,vesprada,germà,B,“mañana” correspon a “matí”.,Material original
B2-VOC-0357,B2,Vocabulari temàtic,test,Com diries “tiempo meteorológico” en valencià?,oratge,ganivet,germà,cadira,A,“tiempo meteorológico” correspon a “oratge”.,Material original
B2-VOC-0358,B2,Vocabulari temàtic,test,Com diries “nube” en valencià?,núvol,pluja,faena,creïlla,A,“nube” correspon a “núvol”.,Material original
B2-VOC-0359,B2,Vocabulari temàtic,test,Com diries “lluvia” en valencià?,núvol,cadira,finestra,pluja,D,“lluvia” correspon a “pluja”.,Material original
B2-VOC-0360,B2,Vocabulari temàtic,test,Com diries “trabajo” en valencià?,taula,xiquet,faena,germà,C,“trabajo” correspon a “faena”.,Material original
B2-VOC-0361,B2,Vocabulari temàtic,test,Com diries “espejo” en valencià?,ganivet,espill,cadira,núvol,B,“espejo” correspon a “espill”.,Material original
B2-VOC-0362,B2,Vocabulari temàtic,test,Com diries “niño” en valencià?,oratge,xiquet,taula,pluja,B,“niño” correspon a “xiquet”.,Material original
B2-VOC-0363,B2,Vocabulari temàtic,test,Com diries “hermano” en valencià?,germà,poma,ganivet,oratge,A,“hermano” correspon a “germà”.,Material original
B2-VOC-0364,B2,Vocabulari temàtic,test,Com diries “abuelo” en valencià?,xiquet,oratge,iaio,poma,C,“abuelo” correspon a “iaio”.,Material original
C1-ACC-0013,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,ciencia,siència,ciéncia,ciència,D,Ciència porta accent per marcar la tonicitat i la e oberta.,Material original
C1-ACC-0014,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,conciencia,consciencia,consciéncia,consciència,D,Consciència porta accent obert.,Material original
C1-ACC-0015,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,pàciencia,paciencia,paciéncia,paciència,D,Paciència porta accent obert.,Material original
C1-ACC-0016,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,questió,qüestió,qüestio,cuestió,B,La u de qüe es pronuncia i porta dièresi.,Material original
C1-ACC-0017,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,linguística,llingüística,lingüística,lingüístíca,C,La u de lingüística es pronuncia i porta dièresi.,Material original
C1-ACC-0018,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,ambigüitat,ambiguitat,ambigüedat,ambigüetàt,A,La u de güi es pronuncia i porta dièresi.,Material original
C1-ACC-0019,C1,Accentuació i dièresi,test,Tria la forma escrita correctament.,raim,raím,ràim,raïm,D,Raïm porta dièresi per trencar el diftong.,Material original
